Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Northeastern,77,27,60,0.45,57.69318500428182,63,5.306814995718182,14,23,0.6086956521739131,16.55725956828166,14,-2.5572595682816592,74.25044457256347,77,2.749555427436522
Harvard,60,17,46,0.3695652173913043,43.09793954826539,40,-3.09793954826538,20,24,0.8333333333333334,17.277140419076513,20,2.722859580923486,60.3750799673419,60,-0.3750799673418923
