Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Mount St. Mary's,60,22,59,0.3728813559322034,59.2907261532387,50,-9.290726153238701,10,18,0.5555555555555556,12.957867954122532,10,-2.9578679541225315,72.24859410736123,60,-12.248594107361235
Ohio State,113,41,64,0.640625,62.55096715673737,97,34.44903284326262,16,19,0.8421052631578947,13.677749507129338,16,2.3222504928706607,76.22871666386673,113,36.77128333613329
