Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Chicago State,62,21,56,0.375,51.44065499360019,46,-5.440654993600196,16,23,0.6956521739130435,16.55725956828166,16,-0.557259568281659,67.99791456188184,62,-5.9979145618818555
DePaul,92,30,60,0.5,60.09943411632598,68,7.900565883674024,24,35,0.6857142857142857,25.195829777819917,24,-1.1958297778199163,85.29526389414589,92,6.7047361058541055
