Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Seattle U,71,27,48,0.5625,45.36518044478866,57,11.634819555211331,14,22,0.6363636363636364,15.837378717486803,14,-1.8373787174868046,61.20255916227548,71,9.797440837724526
UC Santa Barbara,74,22,47,0.46808510638297873,45.540879620348036,52,6.459120379651966,22,25,0.88,17.997021269871368,22,4.002978730128631,63.53790089021941,74,10.462099109780596
