Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Temple,76,25,59,0.423728813559322,59.05282737099253,57,-2.052827370992535,19,26,0.7307692307692307,18.716902120666223,19,0.2830978793337763,77.76972949165878,76,-1.7697294916587598
UC San Diego,91,35,56,0.625,56.147105068798176,82,25.852894931201828,9,20,0.45,14.397617015897094,9,-5.397617015897095,70.54472208469528,91,20.455277915304734
