Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Cornell,81,28,57,0.49122807017543857,56.53505503748442,69,12.46494496251558,12,17,0.7058823529411765,12.237974463512531,12,-0.2379744635125305,68.77302950099694,81,12.226970499003048
George Mason,99,34,61,0.5573770491803278,60.33722215033063,78,17.66277784966936,21,25,0.84,17.997021269871368,21,3.0029787301286315,78.33424342020201,99,20.66575657979799
