Team,Score,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Yale,74,27,58,0.46551724137931033,56.26717916831787,63,6.732820831682131,11,18,0.6111111111111112,12.957867954122532,11,-1.9578679541225321,69.2250471224404,74,4.774952877559599
Charleston,63,21,55,0.38181818181818183,53.54288040249949,47,-6.542880402499482,16,24,0.6666666666666666,17.277157272163375,16,-1.2771572721633762,70.82003767466287,63,-7.820037674662857
